protein,folder
0401173A,Folder01
0501217A,Folder01
0507192A,Folder01
0511311A,Folder01
0704243A,Folder01
0704243B,Folder01
0704313A,Folder01
0705172A,Folder01
0804188A,Folder01
0909229A,Folder01
1000704,Folder01
1001624560,Folder01
1002707582,Folder01
1002819318,Folder01
1003243A,Folder01
1004170652,Folder01
1004170666,Folder01
1004393738,Folder01
10047104,Folder01
10047177,Folder01
10047179,Folder01
10047265,Folder01
10047279,Folder01
10047289,Folder01
10047337,Folder01
1006226A,Folder01
1006233A,Folder01
1006599006,Folder01
1006668,Folder01
1007216A,Folder01
1008915,Folder01
10092619,Folder01
10092621,Folder01
1010222144,Folder01
1011750866,Folder01
10119776,Folder01
1012443626,Folder01
10129690,Folder01
10130126,Folder01
1013181363,Folder01
1013368082,Folder01
1013406844,Folder01
10140847,Folder01
1015172279,Folder01
1015177035,Folder01
1015576832,Folder01
1015809800,Folder01
1016080622,Folder01
1016470365,Folder01
1016470462,Folder01
1016840972,Folder01
1017029399,Folder01
10181096,Folder01
1018443345,Folder01
10190670,Folder01
10190704,Folder01
1019445,Folder01
10198656,Folder01
1020315,Folder01
1020738643,Folder01
1021087267,Folder01
1021312222,Folder01
1021589292,Folder01
10241694,Folder01
1024336677,Folder01
1024336729,Folder01
1024336731,Folder01
1026944008,Folder01
1032030650,Folder01
1034554520,Folder01
1034554522,Folder01
1034554799,Folder01
1034554819,Folder01
1034554840,Folder01
1034554844,Folder01
1034554912,Folder01
1034555136,Folder01
1034555472,Folder01
1034555566,Folder01
1034555632,Folder01
1034555809,Folder01
1034555825,Folder01
1034555915,Folder01
1034555946,Folder01
1034556023,Folder01
1034556081,Folder01
1034556669,Folder01
1034556794,Folder01
1034556887,Folder01
1034556899,Folder01
1034557143,Folder01
1034557152,Folder01
1034557430,Folder01
1034557544,Folder01
1034557575,Folder01
1034557689,Folder01
1034557975,Folder01
1034558043,Folder01
1034558202,Folder01
1034558205,Folder01
1034558457,Folder01
1034558461,Folder01
1034558503,Folder01
1034558505,Folder01
1034558518,Folder01
1034558596,Folder01
1034558686,Folder01
1034558851,Folder01
1034558884,Folder01
1034558950,Folder01
1034559001,Folder01
1034559222,Folder01
1034559237,Folder01
1034559240,Folder01
1034559433,Folder01
1034559561,Folder01
1034559697,Folder01
1034560033,Folder01
1034560136,Folder01
1034560161,Folder01
1034560751,Folder01
1034561914,Folder01
1034561918,Folder01
1034562071,Folder01
1034562195,Folder01
1034562230,Folder01
1034562358,Folder01
1034562531,Folder01
1034562559,Folder01
1034562593,Folder01
1034563195,Folder01
1034563226,Folder01
1034563431,Folder01
1034563680,Folder01
1034566257,Folder01
1034566840,Folder01
1034566936,Folder01
1034567139,Folder01
1034567141,Folder01
1034567460,Folder01
1034567574,Folder01
1034567742,Folder01
1034567998,Folder01
1034568046,Folder01
1034568079,Folder01
1034568179,Folder01
1034568432,Folder01
1034568595,Folder01
1034568613,Folder01
1034568738,Folder01
1034568942,Folder01
1034568992,Folder01
1034569592,Folder01
1034569971,Folder01
1034570102,Folder01
1034570156,Folder01
1034570197,Folder01
1034570276,Folder01
1034571846,Folder01
1034571943,Folder01
1034572351,Folder01
1034572445,Folder01
1034572538,Folder01
1034572546,Folder01
1034572549,Folder01
1034572748,Folder01
1034572774,Folder01
1034572845,Folder01
1034572867,Folder01
1034572975,Folder01
1034573124,Folder01
1034573516,Folder01
1034573546,Folder01
1034573664,Folder01
1034574095,Folder01
1034574201,Folder01
1034574245,Folder01
1034574339,Folder01
1034574347,Folder01
1034574531,Folder01
1034574547,Folder01
1034574699,Folder01
1034574866,Folder01
1034574907,Folder01
1034575085,Folder01
1034575403,Folder01
1034575409,Folder01
1034575517,Folder01
1034575548,Folder01
1034575603,Folder01
1034576168,Folder01
1034576196,Folder01
1034576203,Folder01
1034576248,Folder01
1034576276,Folder01
1034576292,Folder01
1034577817,Folder01
1034578034,Folder01
1034578245,Folder01
1034578431,Folder01
1034578448,Folder01
1034578613,Folder01
1034578790,Folder01
1034578796,Folder01
1034578945,Folder01
1034579112,Folder01
1034579196,Folder01
1034579332,Folder01
1034579524,Folder01
1034579758,Folder01
1034580037,Folder01
1034580340,Folder01
1034580720,Folder01
1034581190,Folder01
1034581387,Folder01
1034581637,Folder01
1034582207,Folder01
1034582225,Folder01
1034582296,Folder01
1034582379,Folder01
1034582524,Folder01
1034583704,Folder01
1034584319,Folder01
1034584334,Folder01
1034584735,Folder01
1034584808,Folder01
1034585129,Folder01
1034586339,Folder01
1034586343,Folder01
1034586516,Folder01
1034586597,Folder01
1034586601,Folder01
1034587283,Folder01
1034587377,Folder01
1034587548,Folder01
1034587686,Folder01
1034587695,Folder01
1034588347,Folder01
1034588599,Folder01
1034589650,Folder01
1034589925,Folder01
1034590124,Folder01
1034590149,Folder01
1034590270,Folder01
1034590540,Folder01
1034590945,Folder01
1034590952,Folder01
1034591070,Folder01
1034591093,Folder01
1034591346,Folder01
1034591380,Folder02
1034591392,Folder02
1034591409,Folder02
1034591423,Folder02
1034591434,Folder02
1034591546,Folder02
1034591751,Folder02
1034592068,Folder02
1034592233,Folder02
1034592249,Folder02
1034592307,Folder02
1034592379,Folder02
1034593409,Folder02
1034593437,Folder02
1034593444,Folder02
1034593586,Folder02
1034593776,Folder02
1034593837,Folder02
1034593907,Folder02
1034593931,Folder02
1034593933,Folder02
1034594077,Folder02
1034594282,Folder02
1034594320,Folder02
1034594393,Folder02
1034594398,Folder02
1034594450,Folder02
1034594466,Folder02
1034594508,Folder02
1034594519,Folder02
1034594649,Folder02
1034594725,Folder02
1034595006,Folder02
1034595231,Folder02
1034595315,Folder02
1034595526,Folder02
1034595539,Folder02
1034595612,Folder02
1034595651,Folder02
1034596301,Folder02
1034596371,Folder02
1034596752,Folder02
1034597737,Folder02
1034598057,Folder02
1034598175,Folder02
1034598186,Folder02
1034598315,Folder02
1034598329,Folder02
1034598339,Folder02
1034598412,Folder02
1034598560,Folder02
1034598569,Folder02
1034598633,Folder02
1034598891,Folder02
1034599058,Folder02
1034599068,Folder02
1034599233,Folder02
1034599404,Folder02
1034599510,Folder02
1034599643,Folder02
1034599664,Folder02
1034599986,Folder02
1034600055,Folder02
1034600598,Folder02
1034600652,Folder02
1034600823,Folder02
1034601381,Folder02
1034601554,Folder02
1034601651,Folder02
1034601655,Folder02
1034601728,Folder02
1034601731,Folder02
1034601995,Folder02
1034602322,Folder02
1034602405,Folder02
1034603448,Folder02
1034603629,Folder02
1034603725,Folder02
1034603820,Folder02
1034604008,Folder02
1034604103,Folder02
1034604236,Folder02
1034604294,Folder02
1034604508,Folder02
1034604813,Folder02
1034604880,Folder02
1034605632,Folder02
1034605940,Folder02
1034606053,Folder02
1034606328,Folder02
1034606507,Folder02
1034607400,Folder02
1034607505,Folder02
1034607714,Folder02
1034607735,Folder02
1034607988,Folder02
1034608024,Folder02
1034608576,Folder02
1034608610,Folder02
1034608661,Folder02
1034608697,Folder02
1034608750,Folder02
1034608802,Folder02
1034608894,Folder02
1034608954,Folder02
1034608999,Folder02
1034609149,Folder02
1034609178,Folder02
1034609320,Folder02
1034609501,Folder02
1034609621,Folder02
1034609680,Folder02
1034609710,Folder02
1034609819,Folder02
1034609929,Folder02
1034610066,Folder02
1034610157,Folder02
1034610167,Folder02
1034610284,Folder02
1034610292,Folder02
1034611032,Folder02
1034611384,Folder02
1034611404,Folder02
1034611424,Folder02
1034611467,Folder02
1034611490,Folder02
1034611606,Folder02
1034611879,Folder02
1034611932,Folder02
1034612007,Folder02
1034612179,Folder02
1034612208,Folder02
1034612222,Folder02
1034612282,Folder02
1034612305,Folder02
1034612311,Folder02
1034612731,Folder02
1034612842,Folder02
1034612912,Folder02
1034612966,Folder02
1034613051,Folder02
1034613345,Folder02
1034613623,Folder02
1034613716,Folder02
1034613882,Folder02
1034613927,Folder02
1034613958,Folder02
1034613960,Folder02
1034614151,Folder02
1034614212,Folder02
1034614297,Folder02
1034614303,Folder02
1034614433,Folder02
1034614584,Folder02
1034614643,Folder02
1034614755,Folder02
1034614936,Folder02
1034615061,Folder02
1034615254,Folder02
1034615260,Folder02
1034615333,Folder02
1034615431,Folder02
1034615439,Folder02
1034615499,Folder02
1034615835,Folder02
1034615901,Folder02
1034616314,Folder02
1034616359,Folder02
1034616788,Folder02
1034616846,Folder02
1034616888,Folder02
1034617190,Folder02
1034617192,Folder02
1034617509,Folder02
1034617781,Folder02
1034622671,Folder02
1034622801,Folder02
1034624524,Folder02
1034624559,Folder02
1034624969,Folder02
1034624975,Folder02
1034625097,Folder02
1034625123,Folder02
1034625141,Folder02
1034625265,Folder02
1034625561,Folder02
1034625849,Folder02
1034625881,Folder02
1034626005,Folder02
1034627297,Folder02
1034627724,Folder02
1034628100,Folder02
1034628619,Folder02
1034628922,Folder02
1034629306,Folder02
1034629326,Folder02
1034629364,Folder02
1034629376,Folder02
1034629556,Folder02
1034630766,Folder02
1034631092,Folder02
1034631117,Folder02
1034631122,Folder02
1034631153,Folder02
1034631225,Folder02
1034631272,Folder02
1034631304,Folder02
1034631309,Folder02
1034631321,Folder02
1034631352,Folder02
1034631636,Folder02
1034631726,Folder02
1034631874,Folder02
1034631893,Folder02
1034631903,Folder02
1034631956,Folder02
1034632061,Folder02
1034632206,Folder02
1034632481,Folder02
1034632487,Folder02
1034632491,Folder02
1034632633,Folder02
1034632729,Folder02
1034633160,Folder02
1034633201,Folder02
1034633482,Folder02
1034633660,Folder02
1034633834,Folder02
1034634342,Folder02
1034634757,Folder02
1034634894,Folder02
1034634925,Folder02
1034635021,Folder02
1034635033,Folder02
1034635189,Folder02
1034635264,Folder02
1034635318,Folder02
1034635472,Folder02
1034635523,Folder02
1034636051,Folder02
1034636168,Folder02
1034636256,Folder02
1034636293,Folder02
1034636497,Folder02
1034636640,Folder02
1034638103,Folder02
1034638369,Folder02
1034638418,Folder02
1034639155,Folder02
1034639223,Folder02
1034639266,Folder03
1034639304,Folder03
1034639507,Folder03
1034639629,Folder03
1034639806,Folder03
1034639870,Folder03
1034640219,Folder03
1034640229,Folder03
1034640402,Folder03
1034640517,Folder03
1034641016,Folder03
1034641126,Folder03
1034643397,Folder03
1034643513,Folder03
1034643643,Folder03
1034644131,Folder03
1034644191,Folder03
1034644261,Folder03
1034644362,Folder03
1034644550,Folder03
1034644762,Folder03
1034645162,Folder03
1034645244,Folder03
1034645729,Folder03
1034645833,Folder03
1034645919,Folder03
1034646174,Folder03
1034646309,Folder03
1034646423,Folder03
1034646495,Folder03
1034646499,Folder03
1034646670,Folder03
1034646679,Folder03
1034646907,Folder03
1034648535,Folder03
1034648747,Folder03
1034648864,Folder03
1034648866,Folder03
1034649034,Folder03
1034649096,Folder03
1034649379,Folder03
1034649470,Folder03
1034649540,Folder03
1034649710,Folder03
1034650062,Folder03
1034650215,Folder03
1034650623,Folder03
1034650679,Folder03
1034650687,Folder03
1034650788,Folder03
1034651010,Folder03
1034651029,Folder03
1034651173,Folder03
1034651186,Folder03
1034651216,Folder03
1034651269,Folder03
1034651309,Folder03
1034651489,Folder03
1034651544,Folder03
1034651701,Folder03
1034651893,Folder03
1034652299,Folder03
1034654098,Folder03
1034654317,Folder03
1034654487,Folder03
1034654665,Folder03
1034654963,Folder03
1034655034,Folder03
1034655073,Folder03
1034655200,Folder03
1034655262,Folder03
1034655807,Folder03
1034655893,Folder03
1034656118,Folder03
1034656350,Folder03
1034656361,Folder03
1034656555,Folder03
1034656558,Folder03
1034656833,Folder03
1034657003,Folder03
1034657237,Folder03
1034657241,Folder03
1034657593,Folder03
1034659006,Folder03
1034659450,Folder03
1034659633,Folder03
1034659897,Folder03
1034660080,Folder03
1034660513,Folder03
1034660548,Folder03
1034660689,Folder03
1034661185,Folder03
1034661399,Folder03
1034661519,Folder03
1034661553,Folder03
1034661569,Folder03
1034661708,Folder03
1034661881,Folder03
1034661986,Folder03
1034661990,Folder03
1034662006,Folder03
1034663513,Folder03
1034663808,Folder03
1034663903,Folder03
1034664051,Folder03
1034664654,Folder03
1034664657,Folder03
1034664767,Folder03
1034664771,Folder03
1034665116,Folder03
