UID,prot.entries,nrow.X,nchar.prot
A0A044QS56,1,183,174
A0A044R9D0,1,244,200
A0A044RF80,1,1501,772
A0A044RFT9,1,442,342
A0A044RMZ3,1,1418,339
A0A044RRG7,1,497,415
A0A044RX75,1,246,259
A0A044RXP7,1,242,463
A0A044SXH1,1,402,422
A0A044TDA1,1,317,315
A0A044UK00,1,12628,6801
A0A044UVG8,1,1485,1535
A0A044V2F8,1,578,618
A0A044V456,1,378,357
A0A044V9F9,1,215,225
A0A044VA40,1,746,768
A0A044VBR7,1,426,433
A0A044VD00,1,220,234
A0A044VFS3,1,414,467
A0A3Q0KD07,1,118,126
A0A3Q0KHY6,1,428,429
Q3URK3,1,2007,2039
